Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0001","0.0011"
"0.0200","0.0002","0.0010"
"0.0400","0.0001","0.0011"
"0.0600","0.0000","0.0008"
"0.0800","0.0000","0.0010"
"0.1000","0.0000","0.0012"
"0.1200","0.0001","0.0027"
"0.1400","0.0001","0.0019"
"0.1600","0.0001","-0.0005"
"0.1800","0.0002","-0.0017"
"0.2000","0.0002","-0.0012"
"0.2200","0.0003","-0.0015"
"0.2400","0.0003","-0.0017"
"0.2600","0.0004","-0.0005"
"0.2800","0.0005","-0.0002"
"0.3000","0.0007","-0.0018"
"0.3200","0.0009","-0.0013"
"0.3400","0.0011","-0.0005"
"0.3600","0.0014","0.0001"
"0.3800","0.0017","0.0002"
"0.4000","0.0020","0.0008"
"0.4200","0.0023","0.0006"
"0.4400","0.0025","0.0003"
"0.4600","0.0028","-0.0009"
"0.4800","0.0031","-0.0013"
"0.5000","0.0033","-0.0010"
"0.5200","0.0035","-0.0002"
"0.5400","0.0038","0.0008"
"0.5600","0.0040","-0.0004"
"0.5800","0.0043","-0.0012"
"0.6000","0.0045","-0.0012"
"0.6200","0.0047","-0.0010"
"0.6400","0.0049","-0.0009"
"0.6600","0.0051","-0.0010"
"0.6800","0.0053","-0.0002"
"0.7000","0.0055","0.0002"
"0.7200","0.0057","0.0007"
"0.7400","0.0059","0.0011"
"0.7600","0.0061","0.0025"
"0.7800","0.0063","0.0021"
"0.8000","0.0064","-0.0001"
"0.8200","0.0066","-0.0003"
"0.8400","0.0068","0.0004"
"0.8600","0.0070","-0.0014"
"0.8800","0.0071","-0.0011"
"0.9000","0.0073","-0.0016"
"0.9200","0.0075","-0.0011"
"0.9400","0.0076","-0.0008"
"0.9600","0.0078","-0.0004"
"0.9800","0.0080","-0.0012"
"1.0000","0.0081","-0.0003"
"1.0200","0.0083","0.0016"
"1.0400","0.0085","0.0012"
"1.0600","0.0087","0.0008"
"1.0800","0.0088","-0.0001"
"1.1000","0.0090","0.0004"
"1.1200","0.0092","0.0004"
"1.1400","0.0094","-0.0002"
"1.1600","0.0095","-0.0012"
"1.1800","0.0097","-0.0015"
"1.2000","0.0099","0.0001"
"1.2200","0.0101","0.0001"
"1.2400","0.0103","-0.0001"
"1.2600","0.0105","-0.0005"
"1.2800","0.0106","-0.0011"
"1.3000","0.0108","0.0001"
"1.3200","0.0110","0.0002"
"1.3400","0.0112","-0.0006"
"1.3600","0.0113","-0.0008"
"1.3800","0.0115","0.0001"
"1.4000","0.0117","-0.0005"
"1.4200","0.0118","-0.0017"
"1.4400","0.0120","0.0001"
"1.4600","0.0122","0.0011"
"1.4800","0.0123","-0.0006"
"1.5000","0.0125","-0.0024"
"1.5200","0.0127","-0.0015"
"1.5400","0.0129","-0.0003"
"1.5600","0.0130","0.0003"
"1.5800","0.0132","0.0015"
"1.6000","0.0134","0.0006"
"1.6200","0.0136","0.0012"
"1.6400","0.0137","0.0010"
"1.6600","0.0139","0.0015"
"1.6800","0.0141","0.0018"
"1.7000","0.0143","0.0012"
"1.7200","0.0144","0.0003"
"1.7400","0.0146","-0.0009"
"1.7600","0.0148","-0.0019"
"1.7800","0.0149","-0.0012"
"1.8000","0.0151","-0.0014"
"1.8200","0.0153","-0.0007"
"1.8400","0.0154","-0.0007"
"1.8600","0.0156","-0.0003"
"1.8800","0.0158","-0.0005"
"1.9000","0.0160","-0.0002"
"1.9200","0.0161","-0.0002"
"1.9400","0.0163","0.0016"
"1.9600","0.0165","0.0011"
"1.9800","0.0166","0.0010"
"2.0000","0.0168","-0.0003"
"2.0200","0.0170","-0.0003"
"2.0400","0.0171","-0.0014"
"2.0600","0.0173","-0.0014"
"2.0800","0.0175","-0.0022"
"2.1000","0.0177","-0.0017"
"2.1200","0.0178","-0.0012"
"2.1400","0.0180","-0.0009"
"2.1600","0.0182","-0.0001"
"2.1800","0.0183","-0.0008"
"2.2000","0.0185","-0.0014"
"2.2200","0.0187","-0.0002"
"2.2400","0.0189","-0.0004"
"2.2600","0.0190","-0.0008"
"2.2800","0.0192","-0.0019"
"2.3000","0.0193","-0.0015"
"2.3200","0.0195","-0.0013"
"2.3400","0.0197","-0.0001"
"2.3600","0.0198","-0.0005"
"2.3800","0.0200","0.0003"
"2.4000","0.0202","0.0003"
"2.4200","0.0203","0.0002"
"2.4400","0.0205","-0.0007"
"2.4600","0.0207","-0.0006"
