时间,温度,湿度
0,22.5,45
1,23.1,47
2,24.3,48
3,25.0,50
4,24.8,52
5,23.5,49
6,22.8,46
7,21.9,44
8,22.3,45
9,23.7,48
10,25.2,51
11,26.8,53
12,27.5,55
13,28.1,56
14,27.9,54
15,26.5,52
16,25.3,50
17,24.1,48
18,23.2,46
19,22.6,45
20,22.0,44
21,21.5,43
22,21.8,44
23,22.4,45
24,23.0,47
25,24.5,49
26,26.0,52
27,27.3,54
28,28.5,57
29,29.0,58
30,28.8,56
31,27.6,54
32,26.2,51
33,25.0,49
34,24.0,47
35,23.3,46
36,22.7,45
37,22.1,44
38,21.6,43
39,21.9,44
40,22.5,46
41,23.8,48
42,25.5,51
43,27.0,54
44,28.3,56
45,29.1,58
46,28.9,57
47,27.8,55
48,26.5,52
49,25.2,50
50,24.3,48
51,23.5,47
52,22.8,45
53,22.2,44
54,21.7,43
55,22.0,44
56,22.6,46
57,23.9,48
58,25.8,51
59,27.2,54
60,28.6,57
61,29.3,59
62,29.0,58
63,28.0,55
64,26.8,53
65,25.5,50
66,24.5,49
67,23.7,47
68,23.0,46
69,22.4,45
70,21.8,44
71,22.1,44
72,22.7,46
73,24.0,49
74,26.1,52
75,27.5,55
76,28.8,57
77,29.5,59
78,29.2,58
79,28.2,56
80,27.0,53
81,25.8,51
82,24.7,49
83,23.9,47
84,23.2,46
85,22.6,45
86,22.0,44
87,22.3,45
88,22.9,47
89,24.2,49
90,26.3,52
91,27.8,55
92,29.0,58
93,29.7,60
94,29.4,59
95,28.4,56
96,27.2,54
97,26.0,51
98,25.0,49
99,24.2,48
